id,neighbourhood,latitude,longitude,room_type,price,days_occupied_in_2018,minimum_nights,number_of_reviews
28367175,Western Addition,37.7834631,-122.4441529,Entire home/apt,400,,2,11
28367768,Bayview,37.73007383,-122.3905597,Private room,58,,1,4
28368154,Castro/Upper Market,37.76205565,-122.4316243,Private room,100,,30,0
28368417,Castro/Upper Market,37.7626937,-122.4317897,Shared room,70,,30,0
28368591,Outer Mission,37.73139132,-122.4461754,Private room,57,,30,0
28369380,Parkside,37.74150821,-122.4797247,Private room,128,,1,19
28371035,Visitacion Valley,37.72300135,-122.4051669,Entire home/apt,250,,2,10
28376750,North Beach,37.79918918,-122.40207,Private room,199,,1,20
28377944,Nob Hill,37.79139045,-122.4177519,Shared room,33,,30,0
28383611,Visitacion Valley,37.72165491,-122.4051269,Private room,100,,1,6
28386585,Western Addition,37.77860351,-122.4424381,Private room,450,,3,1
28387261,Western Addition,37.77406228,-122.4260392,Private room,135,,1,0
28387981,Bernal Heights,37.74228297,-122.4136451,Entire home/apt,175,,2,0
28388761,Ocean View,37.71304812,-122.4649932,Entire home/apt,109,,30,0
28388893,Noe Valley,37.75367741,-122.4272015,Private room,145,,1,6
28390797,Western Addition,37.77622571,-122.4305131,Entire home/apt,375,,4,0
28406404,South of Market,37.77854781,-122.4084205,Entire home/apt,320,,1,4
28407357,Inner Sunset,37.76378111,-122.465811,Entire home/apt,400,,3,2
28411576,Castro/Upper Market,37.76350613,-122.4305866,Private room,100,,30,0
28427234,Financial District,37.78498746,-122.3983054,Entire home/apt,215,,30,0
28428470,Haight Ashbury,37.75903335,-122.4510482,Entire home/apt,150,,2,3
28434902,Nob Hill,37.79252291,-122.4164638,Entire home/apt,250,,5,5
28440838,Castro/Upper Market,37.75881391,-122.4411847,Entire home/apt,500,,2,3
28442815,Russian Hill,37.79860053,-122.4180398,Entire home/apt,180,,30,1
28444017,Castro/Upper Market,37.76162964,-122.4316371,Entire home/apt,999,,4,3
28444497,Bernal Heights,37.73545248,-122.4252664,Entire home/apt,95,,2,12
28450508,Russian Hill,37.79715387,-122.4190533,Entire home/apt,160,,30,0
28458996,Pacific Heights,37.79672176,-122.4245166,Private room,1000,,5,0
28459015,Parkside,37.7419045,-122.4800424,Private room,88,,1,20
28459122,Haight Ashbury,37.76673546,-122.4483485,Private room,275,,1,3
28462671,Outer Mission,37.70879527,-122.4552681,Shared room,38,,30,5
28464381,Mission,37.75093969,-122.4067294,Entire home/apt,200,,4,3
28466654,Parkside,37.74497583,-122.497855,Private room,78,,1,12
28471592,Inner Richmond,37.78089308,-122.4559657,Private room,250,,1,8
28488955,Bayview,37.73098389,-122.3939304,Entire home/apt,99,,30,1
28489872,Western Addition,37.78052914,-122.4402196,Private room,150,,2,7
28490107,Glen Park,37.74076265,-122.4304377,Entire home/apt,300,,4,1
28491695,Russian Hill,37.79806553,-122.4078524,Entire home/apt,90,,30,1
28494293,Mission,37.76326366,-122.4223125,Entire home/apt,500,,4,3
28497516,Ocean View,37.72640503,-122.4681284,Private room,100,,2,6
28499025,Lakeshore,37.73365675,-122.4754858,Private room,95,,1,12
28500088,Mission,37.75632318,-122.4086798,Entire home/apt,180,,1,7
28503911,South of Market,37.77556911,-122.3898014,Entire home/apt,246,,30,0
28517686,Downtown/Civic Center,37.78864538,-122.4114832,Private room,220,,1,3
28518540,Noe Valley,37.75299832,-122.4285944,Entire home/apt,250,,3,10
28521528,Ocean View,37.70876423,-122.4615853,Entire home/apt,124,,30,0
28522766,Potrero Hill,37.76386525,-122.3986419,Entire home/apt,206,,30,0
28523140,Noe Valley,37.75124412,-122.4254478,Private room,275,,5,1
28523221,West of Twin Peaks,37.73203214,-122.4568298,Private room,80,,30,1
28539243,Ocean View,37.71786359,-122.449354,Private room,150,,1,4
28543140,South of Market,37.77993601,-122.4105397,Private room,79,,30,1
28544293,Noe Valley,37.75277169,-122.4315449,Entire home/apt,213,,30,0
28545655,Outer Richmond,37.77557757,-122.4834047,Entire home/apt,120,,30,0
28548553,West of Twin Peaks,37.73593797,-122.4584475,Entire home/apt,256,,2,3
28549074,Inner Sunset,37.76458825,-122.4549065,Entire home/apt,250,,2,1
28550959,Haight Ashbury,37.7707531,-122.449441,Private room,86,,3,14
28560838,North Beach,37.8014267,-122.4052661,Entire home/apt,600,,31,0
28563068,Mission,37.76646469,-122.4174884,Private room,150,,2,1
28564060,North Beach,37.80044381,-122.4043795,Entire home/apt,220,,45,0
28569210,Western Addition,37.77649812,-122.4358441,Entire home/apt,125,,30,0
28575488,South of Market,37.77772623,-122.3989669,Private room,200,,1,0
28581080,Bernal Heights,37.74722213,-122.4236077,Private room,75,,30,0
28582487,South of Market,37.770858,-122.404588,Entire home/apt,275,,1,1
28588615,North Beach,37.79968347,-122.4034326,Private room,199,,1,18
28589423,North Beach,37.80012827,-122.4021908,Private room,199,,1,20
28603195,West of Twin Peaks,37.73108681,-122.4561745,Entire home/apt,300,,3,0
28604690,Parkside,37.74443359,-122.491593,Entire home/apt,60,,30,0
28608286,Downtown/Civic Center,37.78381761,-122.4210443,Private room,250,,5,2
28609462,Outer Mission,37.73052971,-122.4520306,Private room,180,,1,2
28610502,Outer Mission,37.71968785,-122.4437753,Private room,80,,1,13
28633744,Noe Valley,37.74984501,-122.4351873,Private room,440,,1,6
28635140,Bernal Heights,37.73356444,-122.4136168,Private room,48,,3,5
28638631,Bernal Heights,37.73607953,-122.4222889,Private room,150,,30,0
28639182,Outer Mission,37.7085982,-122.454315,Shared room,40,,3,2
28639421,Noe Valley,37.75123645,-122.4261578,Entire home/apt,1500,,2,0
28639823,North Beach,37.80466821,-122.4130985,Private room,129,,1,0
28641430,South of Market,37.77468103,-122.4095763,Entire home/apt,500,,1,2
28646377,Financial District,37.79647302,-122.3973993,Entire home/apt,280,,31,0
28660316,Bayview,37.73746594,-122.3984818,Private room,90,,1,9
28660479,Downtown/Civic Center,37.78826524,-122.4117904,Entire home/apt,229,,3,1
28660694,Downtown/Civic Center,37.78955748,-122.4117014,Entire home/apt,229,,3,1
28667341,Bernal Heights,37.73998719,-122.4229374,Entire home/apt,250,,3,6
28668662,Nob Hill,37.79266965,-122.4183404,Entire home/apt,125,,40,0
28668842,Marina,37.80238614,-122.4413819,Entire home/apt,167,,30,0
28673251,Castro/Upper Market,37.7599479,-122.4298822,Entire home/apt,500,,2,4
28673743,Haight Ashbury,37.77071576,-122.4501153,Entire home/apt,650,,2,4
28674015,Outer Sunset,37.74800734,-122.5065326,Private room,120,,1,17
28683064,Mission,37.75930648,-122.423844,Private room,300,,2,1
28685473,Castro/Upper Market,37.76440105,-122.436279,Private room,265,,1,0
28690888,Bernal Heights,37.74237322,-122.4109004,Entire home/apt,66,,30,0
28696499,Outer Sunset,37.74769256,-122.478015,Private room,99,,30,1
28710088,Glen Park,37.73622422,-122.4372481,Private room,120,,3,2
28712636,Outer Sunset,37.76046815,-122.4920076,Entire home/apt,300,,2,0
28714327,Outer Mission,37.7299456,-122.4402668,Entire home/apt,250,,3,1
28716670,Inner Sunset,37.76060649,-122.4623665,Private room,60,,1,19
28717255,South of Market,37.77659933,-122.3947545,Entire home/apt,750,,31,0
28718646,Mission,37.76429186,-122.4219037,Private room,350,,4,1
28718827,Mission,37.76309443,-122.4194815,Entire home/apt,240,,30,1
28722160,Visitacion Valley,37.71832277,-122.4011069,Entire home/apt,115,,1,22
28724036,South of Market,37.77842979,-122.4127242,Entire home/apt,144,,30,0
28733771,Mission,37.7690831,-122.4236672,Private room,100,,3,11
28733881,Ocean View,37.72091933,-122.4655761,Private room,75,,30,1
